,circuit,conn_id,post_tnid,theta,phi,angle_from_xy,rotation_on_xy
76,LN-Basin,9777350,6277271,1.6885952353750402,0.44757735911302693,0.11779890858014364,0.44757735911302693
77,LN-Basin,9777350,6327746,0.8679361830224238,3.1114579572728682,0.7028601437724727,3.1114579572728682
78,LN-Basin,9777472,9776711,1.5553136849886415,-0.11208261161611319,0.015482641806255026,3.02951004197368
79,LN-Basin,9779785,9779778,1.2517925428502297,0.6805808521529145,0.3190037839446669,0.6805808521529145
80,LN-Basin,988063,988085,1.7279946647978788,0.6688943582657418,0.15719833800298222,0.6688943582657418
81,ORN-PN,10041052,5324420,1.7538184562594867,-1.1566242709425167,0.18302212946459018,1.9849683826472764
82,ORN-PN,10643691,4701375,1.0877169044951156,2.0889376062121494,0.48307942229978096,2.0889376062121494
83,ORN-PN,14871901,10643503,,,,
84,ORN-PN,14929109,5983907,1.827552083181415,1.281207132201398,0.2567557563865184,1.281207132201398
85,ORN-PN,14930343,5702824,1.7748547012136218,3.1248487608004294,0.2040583744187252,3.1248487608004294
86,ORN-PN,14934119,4655305,1.149032788083425,-1.988149463904071,0.42176353871147154,1.153443189685722
87,ORN-PN,14935999,14935963,0.6491957677844056,-1.143685896383618,0.921600559010491,1.997906757206175
88,ORN-PN,14935999,5994811,0.8836390528494122,-1.9041673378765882,0.6871572739454843,1.237425315713205
89,ORN-PN,14986462,10643610,,,,
90,ORN-PN,14990023,10643490,,,,
91,ORN-PN,14995809,11050988,1.6195098219010253,0.9081404561117532,0.04871349510612877,0.9081404561117532
92,ORN-PN,14995809,14995803,2.324489531992815,-0.20144965626686615,0.7536932051979184,2.940142997322927
93,ORN-PN,15387856,7710359,0.8425602553682308,-1.934811250298418,0.7282360714266658,1.206781403291375
94,ORN-PN,17808526,10643759,1.1337805121523656,1.6881454346868343,0.4370158146425309,1.6881454346868343
95,ORN-PN,18077697,5324810,0.5650808544260602,-0.29924411806819473,1.0057154723688364,2.8423485355215985
96,ORN-PN,18147063,5324905,1.2243049992029855,1.1982978755931635,0.34649132759191104,1.1982978755931635
97,ORN-PN,18167706,11050757,1.982685493844731,2.7151737342148796,0.41188916704983436,2.7151737342148796
98,ORN-PN,18240680,10643859,0.6776739436201572,-1.11308361538915,0.8931223831747394,2.028509038200643
99,ORN-PN,18346875,5702704,2.656031179568356,-0.6298337239885954,1.0852348527734597,2.5117589296011977
100,ORN-PN,18371843,5356566,,,,
101,ORN-PN,19007793,10643605,,,,
102,ORN-PN,19092079,14935109,2.2696416366398044,0.09289157031273916,0.6988453098449079,0.09289157031273916
103,ORN-PN,19289221,10643521,,,,
104,ORN-PN,21134490,5994845,0.7065729808295316,-1.0836740383828656,0.864223345965365,2.0579186152069275
105,ORN-PN,21930311,6498935,1.175769365861243,2.3117167646994883,0.39502696093365364,2.3117167646994883
106,ORN-PN,3733468,3733544,2.8277843039138064,-1.2204962367355583,1.2569879771189099,1.9210964168542348
107,ORN-PN,3733612,3733621,2.624256614666227,-1.6437515457611283,1.0534602878713306,1.4978411078286649
108,ORN-PN,3733612,7468495,2.143548477617014,1.6024122207068507,0.5727521508221174,1.6024122207068507
109,ORN-PN,3733699,3733719,,,,
110,ORN-PN,3733699,3733752,,,,
111,ORN-PN,3733906,6122938,2.264640171196193,-0.6130529241073278,0.6938438444012966,2.5285397294824654
