skeleton_id,node_id,connector_id,distance_to_dendritic_root
3034133,6214276,6214279,17865.181257303408
3034133,6214340,6214343,19204.177154737157
3034133,6214407,6214411,7456.385378366645
3034133,6214509,6214510,9094.1147919871
3034133,6214663,6214681,8407.374566469476
3034133,6214667,6214710,8688.276679772145
3034133,6214766,6214800,9418.857183233747
3034133,6214770,6214774,9635.519929381684
3034133,6214825,15849819,9294.238912171382
3034133,6214888,6214896,8467.249286175804
3034133,6214937,6214946,8369.627982899754
3034133,6214975,4892525,8148.280901802031
3034133,6215026,22286660,5609.007249322036
3034133,6215066,6215315,6953.568482049159
3034133,6215079,6215165,6670.010764492974
3034133,6215259,6215267,7288.838945786545
3034133,6215333,6215340,6980.339350516762
3034133,6215389,6215394,7483.021165955146
3034133,6215445,6215508,8218.644338007638
3034133,6215462,6215465,8755.79844740803
3034133,6215598,6215601,8057.15342490932
3034133,6215624,6215626,8165.405972052136
3034133,6215660,21121119,8206.266594957302
3034133,6215690,6215692,9447.984355114477
3034133,6215745,6215751,9799.716262426839
3034133,6215779,6215793,9964.98746160667
3034133,6215861,17175092,12607.925340446378
3034133,6215889,18212396,12825.27915659882
3034133,6216123,7790307,13953.09609584598
3034133,6216153,6216154,14160.35702881077
3034133,6216206,6216212,14480.911408902419
3034133,6216268,17174202,14226.359811321647
3034133,6216271,6216282,14591.26842615828
3034133,6216392,6216396,16237.701285195344
3034133,6216417,6216396,16564.92300398918
3034133,6216443,10166799,17007.403622760667
3034133,6216454,6216477,17428.78462442583
3034133,6216528,10166799,17056.5845354765
3034133,6216541,6216550,17841.93407710778
3034133,6216694,6216702,12813.811018502183
3034133,6216775,10160732,12520.754495830395
3034133,6216778,4844969,12605.338781543298
3034133,6216845,4319902,14082.966667234195
3034133,6217076,6217085,15019.825261506161
3034133,6217144,6217131,8031.214944099636
3034133,6217205,4295633,8945.644416728846
3034133,6217234,6217235,10748.130099297148
3034133,6217268,6217269,11151.06351711108
3034133,6308934,10166580,21595.698717054944
3034133,6308939,6209868,21762.296178886016
3034133,6309020,6309025,22913.353851195683
3034133,6309081,6318778,23292.869571185165
3034133,6361760,6361744,12530.063619066652
3034133,7754336,7754321,9959.269885839818
3034133,7803508,7803468,13564.260597064389
3034133,8020326,8020299,9609.51299054307
3034133,9765556,9765545,10109.378971842776
3034133,9920944,9920927,11173.727581576113
3034133,10157879,10157882,10115.47422326326
3034133,10158092,12240684,16469.906629578854
3034133,10158574,10158642,12807.178345046956
3034133,10158598,3551032,13511.905264116594
3034133,10159036,10159052,10060.387452079336
3034133,10159123,10159137,10482.373529250053
3034133,10159227,10159229,11816.399006246644
3034133,10159266,10159276,12342.1359740656
3034133,10159338,10159344,12782.197881034812
3034133,10160565,6242110,14618.302269778647
3034133,10160624,10160632,15371.598477286916
3034133,10160671,10160686,15585.146295313109
3034133,10166512,10166515,12475.133929172483
3034133,10213095,10213090,14148.943574562149
3034133,10919680,10919690,13676.523762859422
3034133,10919708,8663247,14047.410840735927
3034133,10919759,4168872,13130.45422281545
3034133,14988691,14988703,14371.061123921962
3034133,14988712,14988722,13936.311379849813
3034133,14992798,160506,7396.40086576188
3040481,750113,750075,7448.637480766331
3040481,1095951,1095937,19124.497619365735
3040481,1548274,1548257,21580.890460072544
3040481,1635972,1635958,28559.224094524056
3040481,1862282,1862269,12633.243157122248
3040481,2051027,2051013,21533.841290402037
3040481,2121819,2121813,23534.929127397918
3040481,2143445,2143439,19137.984606150254
3040481,2531888,2531875,37976.29359397975
3040481,2900320,2900300,18081.418547897614
3040481,2997078,2997058,31335.45197625542
3040481,2997136,2997109,30161.92888527485
3040481,3036922,3036835,3825.194208336681
3040481,3037526,3037520,6072.300348928249
3040481,3039427,3039407,31149.8035432662
3040481,3040515,6219594,4827.684356754613
3040481,3040817,3236392,16301.164536315948
3040481,3040821,6219280,16519.310035203038
3040481,3041214,3041256,23211.244843187713
3040481,3041366,4072821,25284.06443455335
3040481,3041545,3073000,30725.758177393276
3040481,3073155,4076731,36639.798184919004
3040481,3073635,3073673,34159.340164539026
3040481,3073637,3955703,34455.49528363534
3040481,3073763,3103400,36252.32179111797
3040481,3073852,3490205,38006.43507875016
3040481,3292556,3292549,18528.913195833018
3040481,3523493,5226850,11329.395474662633
3040481,3523585,8224844,14721.38233921984
3040481,3523587,6219510,14868.423647319789
3040481,3524443,3524445,6145.107173992947
3040481,3524464,9768786,6221.4194769854
3040481,3525265,3525422,5437.129296910236
3040481,3525330,13394444,5046.899764522379
3040481,3525652,6366498,15719.337760887749
3040481,3526161,9780849,19243.947730416527
3040481,3526220,6219423,19150.891716991275
3040481,3526455,4037413,22218.024698010136
3040481,3526800,6219362,24874.766361252965
3040481,3526845,6219610,25962.131077096434
3040481,3528469,3528475,9558.382055073933
3040481,3528514,5226808,9836.857954450235
3040481,3529521,4077840,18469.27585679292
3040481,3529870,3697364,18652.66215658051
3040481,3529870,16224907,18652.66215658051
3040481,3529909,10179349,5586.4355765006985
3040481,3529961,9782405,7615.681132053927
3040481,3529966,6233788,8063.740474877624
3040481,3530003,6220047,9491.837561016357
3040481,3530020,4264845,10366.58659146809
3040481,3530475,10172431,3101.633147502558
3040481,3530493,5463260,3184.0696633482366
3040481,3530551,6220584,4148.117998087659
3040481,3530740,6211572,5531.195242548078
3040481,3530793,6211466,6194.913382480838
3040481,3530801,6235862,6292.53558585405
3040481,3530919,3530926,7859.158690829288
3040481,3531101,8670221,9196.598501605367
3040481,3531203,10210862,16867.503188998024
3040481,3531636,3663571,26253.439566176567
3040481,3549717,3549711,20491.5073566602
3040481,3603720,3603713,20270.206753968574
3040481,3604061,3604040,17280.732350486083
3040481,3616557,3616551,17970.877114785217
3040481,3616645,3616632,19326.61722823249
3040481,3639895,3639880,28494.351104332556
3040481,3672480,3672465,25380.44534108466
3040481,3672549,3672526,30789.080851442326
3040481,3676627,3676614,28846.846123697418
3040481,3697503,3697497,19690.78408887054
3040481,3749163,3749137,16123.085368600594
3040481,3764645,4030119,20072.002228110556
3040481,3780930,3780924,18673.353863705997
3040481,3789847,3789841,19883.99485665698
3040481,3789877,3789857,17360.52930209205
3040481,3869033,3869013,36887.874409553726
3040481,4077958,4077962,18854.29990300771
3040481,4078833,4078810,17687.03574197214
3040481,4079142,4079135,19340.179568224252
3040481,4079379,23828588,17351.179893232613
3040481,4079854,4079840,20872.16420282526
3040481,4205407,4205373,5519.891322925938
3040481,4255479,4255464,44629.466571993755
3040481,4303209,4303195,17272.30258826675
3040481,4303237,4303224,16864.73504676803
3040481,4321646,3040083,13060.081586258566
3040481,4393481,4393473,21035.19548645336
3040481,4756100,4756085,27877.018468692906
3040481,4756342,4756297,27775.31726029909
3040481,4781654,4781575,16768.76374650871
3040481,4785276,4785283,34318.201364948945
3040481,4785494,6144989,37489.45285740251
3040481,4785499,6171912,37733.7391862667
3040481,4785791,4785797,45572.779392350414
3040481,4786158,4786162,54240.0180362453
3040481,4786254,4167041,56363.07585923817
3040481,4786401,6354400,57579.05697667797
3040481,6208140,6208134,16514.858391330992
3040481,6210068,6210049,23013.552116471306
3040481,6210270,6210257,8506.821962260561
3040481,6210287,6210274,8237.111333889989
3040481,6218642,1464424,56132.33487628512
3040481,6219376,22415345,23906.9702955919
3040481,6219379,6219381,24092.377319443665
3040481,6219453,6219459,13796.390323937281
3040481,6219656,6211423,6870.237642927852
3040481,6219657,7816052,6942.330036841573
3040481,6219699,6219702,6316.9928117573
3040481,6220361,4780978,16889.661785110213
3040481,6220369,9781745,16627.30256897874
3040481,6220411,6220414,19733.05430183268
3040481,6220458,3524386,5243.097178872962
3040481,6220525,6220539,4733.5896332593875
3040481,6220694,14729213,17195.739594561703
3040481,6220825,4202509,4062.6350231416727
3040481,6220871,6220876,5438.94693370015
3040481,6220925,9782001,3839.418272441726
3040481,6220936,6211311,4768.799727028098
3040481,6220939,6220943,4808.633271279399
3040481,6221001,6221138,6787.019879612002
3040481,6221196,6221206,7800.216899473642
3040481,6221224,6221066,8046.161452577726
3040481,6221314,6221350,11845.627891094955
3040481,6221317,6221325,11891.442973196477
3040481,6221391,14988805,12709.462471174884
3040481,6221409,6221420,14195.978285054014
3040481,6221409,10273019,14195.978285054014
3040481,6221418,8670247,15808.737088939539
3040481,6221453,8670301,17334.99281497371
3040481,6221747,6221804,10947.27862655474
3040481,6221778,6221780,11517.728131887954
3040481,6221924,751287,11934.72981828884
3040481,6222006,6241204,16093.969214203185
3040481,6222008,6222011,16113.592311348846
3040481,6222101,6222105,16703.34769223156
3040481,6222175,7810231,5017.747077641408
3040481,6222183,6211713,6195.2134785713715
3040481,6222199,9768409,5539.3825719555425
3040481,6222248,9766827,6258.755838776386
3040481,6222261,6222284,6407.342840039455
3040481,6222536,9782442,16647.372505227555
3040481,6222880,6222881,13064.546972903794
3040481,6222953,6222960,17616.31535297261
3040481,6223011,4031817,18090.698537537617
3040481,6223021,3042059,18840.059523690325
3040481,6223198,6223218,17373.31205249871
3040481,6223248,2599197,18520.37198460636
3040481,6223315,6223364,18552.358733881643
3040481,6223340,3649540,19214.658633498693
3040481,6223426,6223431,19276.32305705914
3040481,6223469,10213090,13954.503152519552
3040481,6223559,3780906,15275.26140533221
3040481,6223624,6223629,18404.81695347862
